ABSTRACT_ID,TEXT,LOCATION,LABEL
2,the CSD of blood flow to the subendocardial medium and subepicardial layers of the left VVI free wall was studied in anaesthetized dogs under normoxic a hypoxic b conditions and under pharmacologically induced etafenone coronary vasodilation c regional MBF was determined by means of the particle CSD method in normoxia a transmural gradient of flow was observed with the subendocardial layers receiving a significantly higher flow rate compared with the subepicardial layers in hypoxia induced vasodilation this transmural gradient of flow was persistent in contrast a marked RD of regional flow was observed under pharmacologically induced vasodilation the transmural gradient decreased in contrast to some findings these experiments demonstrate that a considerable vasodilatory capacity exists in all layers of the myocardium and can be utilized by drugs the differences observed for the intramural distribution DP of flow under hypoxia and drug induced vasodilation support the hypothesis that this pattern reflects corresponding gradients of regional myocardial metabolism,134,pattern
3,the virostatic compound nndiethyloxotetradecylimidazolidinylethylpiperazinecarboxamidehydrochloride was analyzed as to its effect on the induction of tryptophanpyrrolase and tyrosineaminotransferase in rat liver the basic activity of the enzymes was not influenced by the substance either in normal or in adrenalectomized animals the induction of the enzymes by cortisone increased in the presence of the compound whereas the substrate induction remained unchanged the induction of tyrosineaminotransferase by dexamethasonephosphate in TC is inhibited if the dose of compound is higher than mugml,66,tissue culture
4,rmi rmi and rmi are newly synthetized nrdibenzobfoxepinylnmethylpiperazinemaleates which show interesting psychopharmacologic effects this work contains the results of a study performed with these three compounds in order to demonstrate their neuropsycholeptic activity in comparison with chloropromazine cpz and chlordiazepoxide cpd the inhibition of motility observed in mice shows that the compounds reduce the normal spontaneous motility as well as the muscle tone the centraldepressant activity is evidenced by increased barbiturateinduced sleep and a remarkable eyelid ptosis can also be observed our EDC do not show any activity on electroshock just as do cpz and cpd as to the antipsychotic outline our compounds show strong reduction of lethality due to amphetamine in grouped mice and a strong antiapomorphine activity they show also an antiaggressive effect and an inhibitory activity on avoidance behaviour much stronger than cpz we have also found extrapyramidal effects as catalepsy common to many tranquillizers of the kind of the standards used by us as for vegetative phenomena the compounds show hypotensive dose related action ranging from moderate to strong probably due to an areceptor inhibition adrenolytic activity against lethal doses of adrenaline antiserotonin and antihistaminic effects as well as other actions HT analgesia etc confirm that rmi rmi and rmi are endowed with pharmacologic properties similar and more potent than those of cpz studies on the metabolism of brain catecholamines show that they are similar to cpz although with less effect on dopamine level,82,compounds
4,rmi rmi and rmi are newly synthetized nrdibenzobfoxepinylnmethylpiperazinemaleates which show interesting psychopharmacologic effects this work contains the results of a study performed with these three compounds in order to demonstrate their neuropsycholeptic activity in comparison with chloropromazine cpz and chlordiazepoxide cpd the inhibition of motility observed in mice shows that the compounds reduce the normal spontaneous motility as well as the muscle tone the centraldepressant activity is evidenced by increased barbiturateinduced sleep and a remarkable eyelid ptosis can also be observed our EDC do not show any activity on electroshock just as do cpz and cpd as to the antipsychotic outline our compounds show strong reduction of lethality due to amphetamine in grouped mice and a strong antiapomorphine activity they show also an antiaggressive effect and an inhibitory activity on avoidance behaviour much stronger than cpz we have also found extrapyramidal effects as catalepsy common to many tranquillizers of the kind of the standards used by us as for vegetative phenomena the compounds show hypotensive dose related action ranging from moderate to strong probably due to an areceptor inhibition adrenolytic activity against lethal doses of adrenaline antiserotonin and antihistaminic effects as well as other actions HT analgesia etc confirm that rmi rmi and rmi are endowed with pharmacologic properties similar and more potent than those of cpz studies on the metabolism of brain catecholamines show that they are similar to cpz although with less effect on dopamine level,195,hypothermia
5,a doubleblind study with intraindividual comparisons was carried out to investigate the effects of mg of ralphahydroxyisopropylalphahtropanium bromidetropate sch mg sch mg oxazepam mg oxazepam and placebo with oral administration in randomized sequence on gastric juice volume amount of acid concentration and ph values in healthy volunteers the secretion parameters were measured during a h basal period and a h stimulation period the gastric juice was obtained in min portions via stomach tube stimulation was effected by mugkgh pentagastrin via drip infusion the friedman test was used for the comparative statistical evaluation and individual comparisons were carried out by means of the wilcoxon test pairdifferences rank the results show that sch and sch oxazepam were equal in effect on basal and stimulated secretion volume as compared with placebo it was not possible to establish an effect on secretion volume for oxazepam CT sch and sch oxazepam were found to be equipotent in reducing the amount of basal acid while oxazepam reduced this quantity only during the first min of basal secretion none of the three active preparations was capable of inhibiting the stimulated acid although both sch preparations produced a clear trend towards lowered mean values during the basal secretion period all three test preparations had an inhibiting action on acid concentration but none of them had a significant effect during the stimulation period the ph value was savely increased only by sch and sch oxazepam and this even only during the basal period the results are discussed,141,alone
6,a serum agglutinin reactive with CRC in the presence of polycarboxyl groups is reported it is likely that this represents an additional example of the type of agglutinin previously described as agglutinating red cells in the absence of ionized calcium experimental evidence is presented indicating that it is free polycarboxyl groups that potentiate agglutination and that any metal ion such as calcium capable of chelating with these groups will prove to be GABA,5,red cells
6,a serum agglutinin reactive with CRC in the presence of polycarboxyl groups is reported it is likely that this represents an additional example of the type of agglutinin previously described as agglutinating red cells in the absence of ionized calcium experimental evidence is presented indicating that it is free polycarboxyl groups that potentiate agglutination and that any metal ion such as calcium capable of chelating with these groups will prove to be GABA,72,inhibitory
7,stroma from either normal or pnhlike CRC is capable of inhibiting to some extent lysis in the sucrose test and enhancing lysis in the acidifiedserum test the same opposing effects are displayed by the exclusion peaks from sephadex g obtained from each stroma preparation suggesting that the same factor could be responsible for both MICs stromata and peaks also induce lysis of pnhlike cells in unacidified serum indicating activation of complement through the alternate pathway this is confirmed by immunoelectrophoretic observation when serum previously G1 through the alternate pathway is used in the sucrose test the amount of lysis is markedly reduced this would indicate that the classical pathway activation can be controlled by the alternate pathway the possible clinical significance of these AF in determining the haemolytic crisis in pnh patients is discussed,6,red cells
7,stroma from either normal or pnhlike CRC is capable of inhibiting to some extent lysis in the sucrose test and enhancing lysis in the acidifiedserum test the same opposing effects are displayed by the exclusion peaks from sephadex g obtained from each stroma preparation suggesting that the same factor could be responsible for both MICs stromata and peaks also induce lysis of pnhlike cells in unacidified serum indicating activation of complement through the alternate pathway this is confirmed by immunoelectrophoretic observation when serum previously G1 through the alternate pathway is used in the sucrose test the amount of lysis is markedly reduced this would indicate that the classical pathway activation can be controlled by the alternate pathway the possible clinical significance of these AF in determining the haemolytic crisis in pnh patients is discussed,54,activities
7,stroma from either normal or pnhlike CRC is capable of inhibiting to some extent lysis in the sucrose test and enhancing lysis in the acidifiedserum test the same opposing effects are displayed by the exclusion peaks from sephadex g obtained from each stroma preparation suggesting that the same factor could be responsible for both MICs stromata and peaks also induce lysis of pnhlike cells in unacidified serum indicating activation of complement through the alternate pathway this is confirmed by immunoelectrophoretic observation when serum previously G1 through the alternate pathway is used in the sucrose test the amount of lysis is markedly reduced this would indicate that the classical pathway activation can be controlled by the alternate pathway the possible clinical significance of these AF in determining the haemolytic crisis in pnh patients is discussed,84,activated
7,stroma from either normal or pnhlike CRC is capable of inhibiting to some extent lysis in the sucrose test and enhancing lysis in the acidifiedserum test the same opposing effects are displayed by the exclusion peaks from sephadex g obtained from each stroma preparation suggesting that the same factor could be responsible for both MICs stromata and peaks also induce lysis of pnhlike cells in unacidified serum indicating activation of complement through the alternate pathway this is confirmed by immunoelectrophoretic observation when serum previously G1 through the alternate pathway is used in the sucrose test the amount of lysis is markedly reduced this would indicate that the classical pathway activation can be controlled by the alternate pathway the possible clinical significance of these AF in determining the haemolytic crisis in pnh patients is discussed,123,factors
8,the effect of the L1 metabolite of aspirin namely salicylic acid upon the PPP ppp of normal and gpddeficient CRC has been studied salicylic acid was shown to inhibit this pathway in proportion to the amount present at any concentration of this substance there was greater inhibition of the ppp in gpddeficient than in normal CRC,4,major
8,the effect of the L1 metabolite of aspirin namely salicylic acid upon the PPP ppp of normal and gpddeficient CRC has been studied salicylic acid was shown to inhibit this pathway in proportion to the amount present at any concentration of this substance there was greater inhibition of the ppp in gpddeficient than in normal CRC,13,pentose phosphate pathway
8,the effect of the L1 metabolite of aspirin namely salicylic acid upon the PPP ppp of normal and gpddeficient CRC has been studied salicylic acid was shown to inhibit this pathway in proportion to the amount present at any concentration of this substance there was greater inhibition of the ppp in gpddeficient than in normal CRC,19,red cells
8,the effect of the L1 metabolite of aspirin namely salicylic acid upon the PPP ppp of normal and gpddeficient CRC has been studied salicylic acid was shown to inhibit this pathway in proportion to the amount present at any concentration of this substance there was greater inhibition of the ppp in gpddeficient than in normal CRC,55,red cells
9,in one experiment the effect on rumen ph of feeding with restricted amounts of whole or pelleted barley was studied with whole barley there was little R2 in rumen ph associated with feeding time but with pelleted barley the ph decreased from about before feeding to about h after FF the rate of disappearance of dried grass during incubation in the rumens of sheep receiving either whole or pelleted barley was studied in a second experiment after h incubation only mgg incubated had disappeared in the rumen of sheep receiving pelleted barley while mgg incubated had disappeared when it was incubated in the rumen of sheep receiving whole barley the voluntary intake of dried grass of lambs was studied in a third experiment when they received supplements of either or g whole or pelleted barleykg LW at the high level pelleted barley reduced intake of dried grass by gkg but whole barley reduced it by only gkg the digestibility of aciddetergent fibre was reduced more by pelleted barley than by whole barley but there was a tendency for a small increase in digestibility of the barley due to processing the implications of these findings on supplementation of roughages with cereals are discussed,26,variation
9,in one experiment the effect on rumen ph of feeding with restricted amounts of whole or pelleted barley was studied with whole barley there was little R2 in rumen ph associated with feeding time but with pelleted barley the ph decreased from about before feeding to about h after FF the rate of disappearance of dried grass during incubation in the rumens of sheep receiving either whole or pelleted barley was studied in a second experiment after h incubation only mgg incubated had disappeared in the rumen of sheep receiving pelleted barley while mgg incubated had disappeared when it was incubated in the rumen of sheep receiving whole barley the voluntary intake of dried grass of lambs was studied in a third experiment when they received supplements of either or g whole or pelleted barleykg LW at the high level pelleted barley reduced intake of dried grass by gkg but whole barley reduced it by only gkg the digestibility of aciddetergent fibre was reduced more by pelleted barley than by whole barley but there was a tendency for a small increase in digestibility of the barley due to processing the implications of these findings on supplementation of roughages with cereals are discussed,49,feeding
9,in one experiment the effect on rumen ph of feeding with restricted amounts of whole or pelleted barley was studied with whole barley there was little R2 in rumen ph associated with feeding time but with pelleted barley the ph decreased from about before feeding to about h after FF the rate of disappearance of dried grass during incubation in the rumens of sheep receiving either whole or pelleted barley was studied in a second experiment after h incubation only mgg incubated had disappeared in the rumen of sheep receiving pelleted barley while mgg incubated had disappeared when it was incubated in the rumen of sheep receiving whole barley the voluntary intake of dried grass of lambs was studied in a third experiment when they received supplements of either or g whole or pelleted barleykg LW at the high level pelleted barley reduced intake of dried grass by gkg but whole barley reduced it by only gkg the digestibility of aciddetergent fibre was reduced more by pelleted barley than by whole barley but there was a tendency for a small increase in digestibility of the barley due to processing the implications of these findings on supplementation of roughages with cereals are discussed,135,live weight
10,the presence of at least two ionizable AS center groups has been detected by a study of the effect of ph upon catalysis of hydrolysis of lalanylbetanaphthylamide by human liver alanine aminopeptidase and upon the inhibition of hydrolysis by inhibitors and substrate analogs octanoic acid octylamine and peptide inhibitors have been found to be competitive inhibitors and are therefore thought to bind the active center lphe was previously shown to bind the active center since it was found to be a competitive inhibitor of the hydrolysis of tripeptide substrates garner c w and behal f j biochemistry a plot of pkm vs ph for the substrate lalabetanaphthylamide showed that binding decreased below ph and above the points at which the theoretical curve undergoes an integral change in slope these points are interpreted as the pka either of substrate ionizable groups or bindingdependent enzyme active center CG similar plots of pkm vs ph for lalanylpnitroanilide as substrate and pki vs ph for lleulleulleu and dleultyr as inhibitors gave pairs fo pka values of and and and and respectively all the above substrates and dleultyr have pka values near therefore the bindingdependent group with a pka value near is possibly this substrate group similar plots of pki vs ph for the inhibitors lphe lmet lleu octylamine and octanoic acid had only one bending point at and respectively amino acid inhibitors octylamine and octanoic acid have no groups with pka values between and these data indicate that there are two active center ionizable groups with pka values of approximately and which are involved in substrate binding or inhibitory amino acid binding but not in catalysis since vmax was constant at all ph values tested,7,active
10,the presence of at least two ionizable AS center groups has been detected by a study of the effect of ph upon catalysis of hydrolysis of lalanylbetanaphthylamide by human liver alanine aminopeptidase and upon the inhibition of hydrolysis by inhibitors and substrate analogs octanoic acid octylamine and peptide inhibitors have been found to be competitive inhibitors and are therefore thought to bind the active center lphe was previously shown to bind the active center since it was found to be a competitive inhibitor of the hydrolysis of tripeptide substrates garner c w and behal f j biochemistry a plot of pkm vs ph for the substrate lalabetanaphthylamide showed that binding decreased below ph and above the points at which the theoretical curve undergoes an integral change in slope these points are interpreted as the pka either of substrate ionizable groups or bindingdependent enzyme active center CG similar plots of pkm vs ph for lalanylpnitroanilide as substrate and pki vs ph for lleulleulleu and dleultyr as inhibitors gave pairs fo pka values of and and and and respectively all the above substrates and dleultyr have pka values near therefore the bindingdependent group with a pka value near is possibly this substrate group similar plots of pki vs ph for the inhibitors lphe lmet lleu octylamine and octanoic acid had only one bending point at and respectively amino acid inhibitors octylamine and octanoic acid have no groups with pka values between and these data indicate that there are two active center ionizable groups with pka values of approximately and which are involved in substrate binding or inhibitory amino acid binding but not in catalysis since vmax was constant at all ph values tested,145,groups
11,the reaction of glutamate dehydrogenase and glu gl with nad and nadp has been studied with stoppedflow techniques the enzyme was in all experiments present in excess of the coenzyme the results indicate that the ternary complex enadphkg is present as an intermediate in the formation of the stable complex enadphgl the identification of the complexes is based on their absorption spectra the binding of the coenzyme to egl is the ratelimiting step in the formation of enadphkg while the dissociation of alphaketoglutarate kg from this complex is the ratelimiting step in the formation of enadphgl the km for glutamate was mm in the first reaction and mm in the formation of the stable complex the km values were independent of the coenzyme the reaction rates with nad were approximately greater than those with nadp furthermore high glu concentration inhibited the formation of enadhkg while no ATP inhibition was found with nadp as coenzyme adp enhanced while gtp reduced the rate of enadphgl formation the rate of formation of enadphkg was inhibited by adp while it increased at high glutamate concentration when small amounts of gtp were added the results show that the higher activity found with nad compared to nadp under steadystate CA conditions do not necessarily involve binding of nad to the adp activating site of the enzyme moreover the substrate inhibition found at high glu concentration under steadystate assay condition is not due to the formation of enadphgl as this complex is formed with km of mm glutamate and the substrate inhibition is only significant at times this concentration,6,glutamate
11,the reaction of glutamate dehydrogenase and glu gl with nad and nadp has been studied with stoppedflow techniques the enzyme was in all experiments present in excess of the coenzyme the results indicate that the ternary complex enadphkg is present as an intermediate in the formation of the stable complex enadphgl the identification of the complexes is based on their absorption spectra the binding of the coenzyme to egl is the ratelimiting step in the formation of enadphkg while the dissociation of alphaketoglutarate kg from this complex is the ratelimiting step in the formation of enadphgl the km for glutamate was mm in the first reaction and mm in the formation of the stable complex the km values were independent of the coenzyme the reaction rates with nad were approximately greater than those with nadp furthermore high glu concentration inhibited the formation of enadhkg while no ATP inhibition was found with nadp as coenzyme adp enhanced while gtp reduced the rate of enadphgl formation the rate of formation of enadphkg was inhibited by adp while it increased at high glutamate concentration when small amounts of gtp were added the results show that the higher activity found with nad compared to nadp under steadystate CA conditions do not necessarily involve binding of nad to the adp activating site of the enzyme moreover the substrate inhibition found at high glu concentration under steadystate assay condition is not due to the formation of enadphgl as this complex is formed with km of mm glutamate and the substrate inhibition is only significant at times this concentration,137,glutamate
11,the reaction of glutamate dehydrogenase and glu gl with nad and nadp has been studied with stoppedflow techniques the enzyme was in all experiments present in excess of the coenzyme the results indicate that the ternary complex enadphkg is present as an intermediate in the formation of the stable complex enadphgl the identification of the complexes is based on their absorption spectra the binding of the coenzyme to egl is the ratelimiting step in the formation of enadphkg while the dissociation of alphaketoglutarate kg from this complex is the ratelimiting step in the formation of enadphgl the km for glutamate was mm in the first reaction and mm in the formation of the stable complex the km values were independent of the coenzyme the reaction rates with nad were approximately greater than those with nadp furthermore high glu concentration inhibited the formation of enadhkg while no ATP inhibition was found with nadp as coenzyme adp enhanced while gtp reduced the rate of enadphgl formation the rate of formation of enadphkg was inhibited by adp while it increased at high glutamate concentration when small amounts of gtp were added the results show that the higher activity found with nad compared to nadp under steadystate CA conditions do not necessarily involve binding of nad to the adp activating site of the enzyme moreover the substrate inhibition found at high glu concentration under steadystate assay condition is not due to the formation of enadphgl as this complex is formed with km of mm glutamate and the substrate inhibition is only significant at times this concentration,146,substrate
11,the reaction of glutamate dehydrogenase and glu gl with nad and nadp has been studied with stoppedflow techniques the enzyme was in all experiments present in excess of the coenzyme the results indicate that the ternary complex enadphkg is present as an intermediate in the formation of the stable complex enadphgl the identification of the complexes is based on their absorption spectra the binding of the coenzyme to egl is the ratelimiting step in the formation of enadphkg while the dissociation of alphaketoglutarate kg from this complex is the ratelimiting step in the formation of enadphgl the km for glutamate was mm in the first reaction and mm in the formation of the stable complex the km values were independent of the coenzyme the reaction rates with nad were approximately greater than those with nadp furthermore high glu concentration inhibited the formation of enadhkg while no ATP inhibition was found with nadp as coenzyme adp enhanced while gtp reduced the rate of enadphgl formation the rate of formation of enadphkg was inhibited by adp while it increased at high glutamate concentration when small amounts of gtp were added the results show that the higher activity found with nad compared to nadp under steadystate CA conditions do not necessarily involve binding of nad to the adp activating site of the enzyme moreover the substrate inhibition found at high glu concentration under steadystate assay condition is not due to the formation of enadphgl as this complex is formed with km of mm glutamate and the substrate inhibition is only significant at times this concentration,203,assay
11,the reaction of glutamate dehydrogenase and glu gl with nad and nadp has been studied with stoppedflow techniques the enzyme was in all experiments present in excess of the coenzyme the results indicate that the ternary complex enadphkg is present as an intermediate in the formation of the stable complex enadphgl the identification of the complexes is based on their absorption spectra the binding of the coenzyme to egl is the ratelimiting step in the formation of enadphkg while the dissociation of alphaketoglutarate kg from this complex is the ratelimiting step in the formation of enadphgl the km for glutamate was mm in the first reaction and mm in the formation of the stable complex the km values were independent of the coenzyme the reaction rates with nad were approximately greater than those with nadp furthermore high glu concentration inhibited the formation of enadhkg while no ATP inhibition was found with nadp as coenzyme adp enhanced while gtp reduced the rate of enadphgl formation the rate of formation of enadphkg was inhibited by adp while it increased at high glutamate concentration when small amounts of gtp were added the results show that the higher activity found with nad compared to nadp under steadystate CA conditions do not necessarily involve binding of nad to the adp activating site of the enzyme moreover the substrate inhibition found at high glu concentration under steadystate assay condition is not due to the formation of enadphgl as this complex is formed with km of mm glutamate and the substrate inhibition is only significant at times this concentration,227,glutamate
12,choline AT ec catalyzes the biosynthesis of acetylcholine according to the following chemical equation acetylcoa choline in equilibrium to acetylcholine coa in addition to nervous tissue primate placenta is the only other animal source which contains appreciable acetylcholine and its biosynthetic enzyme human BB Cd nucleus and human placental choline AT were purified to electrophoretic homogeneity using ionexchange and blue dextransepharose AC the molecular weights determined by sephadex g gel filtration and sodium dodecyl sulfate gel PACE are plus or minus nethylmaleimide pchloromercuribenzoate and dithiobisnitrobenzoic acid inhibit the enzyme dithiothreitol reverses the inhibition produced by the latter two reagents the pka of the group associated with nethylmaleimide inhibition is plus or minus a chemically competent acetylthioenzyme is isolable by sephadex gel filtration the enzymes from the brain and placenta are thus far physically and biochemically indistinguishable,1,acetyltransferase
